Section Name,Description,Company Name,Text Information

Anbieter,"Wenn Sie nur einen Teil der auf ecomparo vergleichbaren Anbieter & Lösungen zum Vergleich heranziehen möchten,
so können Sie Systeme, die für Sie nicht von Interesse sind, hier abwählen.",Allyouneed (Meinpaket),
Anbieter,"Wenn Sie nur einen Teil der auf ecomparo vergleichbaren Anbieter & Lösungen zum Vergleich heranziehen möchten,
so können Sie Systeme, die für Sie nicht von Interesse sind, hier abwählen.",Amazon,
Anbieter,"Wenn Sie nur einen Teil der auf ecomparo vergleichbaren Anbieter & Lösungen zum Vergleich heranziehen möchten,
so können Sie Systeme, die für Sie nicht von Interesse sind, hier abwählen.",Crowdfox,
Anbieter,"Wenn Sie nur einen Teil der auf ecomparo vergleichbaren Anbieter & Lösungen zum Vergleich heranziehen möchten,
so können Sie Systeme, die für Sie nicht von Interesse sind, hier abwählen.",DaWanda,
Anbieter,"Wenn Sie nur einen Teil der auf ecomparo vergleichbaren Anbieter & Lösungen zum Vergleich heranziehen möchten,
so können Sie Systeme, die für Sie nicht von Interesse sind, hier abwählen.",eBay,
Anbieter,"Wenn Sie nur einen Teil der auf ecomparo vergleichbaren Anbieter & Lösungen zum Vergleich heranziehen möchten,
so können Sie Systeme, die für Sie nicht von Interesse sind, hier abwählen.",Etsy,
Anbieter,"Wenn Sie nur einen Teil der auf ecomparo vergleichbaren Anbieter & Lösungen zum Vergleich heranziehen möchten,
so können Sie Systeme, die für Sie nicht von Interesse sind, hier abwählen.",Hood Media GmbH,
Anbieter,"Wenn Sie nur einen Teil der auf ecomparo vergleichbaren Anbieter & Lösungen zum Vergleich heranziehen möchten,
so können Sie Systeme, die für Sie nicht von Interesse sind, hier abwählen.",Oldthing,
Anbieter,"Wenn Sie nur einen Teil der auf ecomparo vergleichbaren Anbieter & Lösungen zum Vergleich heranziehen möchten,
so können Sie Systeme, die für Sie nicht von Interesse sind, hier abwählen.",Rakuten,
Anbieter,"Wenn Sie nur einen Teil der auf ecomparo vergleichbaren Anbieter & Lösungen zum Vergleich heranziehen möchten,
so können Sie Systeme, die für Sie nicht von Interesse sind, hier abwählen.",real.de (Hitmeister),
Anbieter,"Wenn Sie nur einen Teil der auf ecomparo vergleichbaren Anbieter & Lösungen zum Vergleich heranziehen möchten,
so können Sie Systeme, die für Sie nicht von Interesse sind, hier abwählen.",Ricardo.ch,
Anbieter,"Wenn Sie nur einen Teil der auf ecomparo vergleichbaren Anbieter & Lösungen zum Vergleich heranziehen möchten,
so können Sie Systeme, die für Sie nicht von Interesse sind, hier abwählen.",Yatego,
Marktplatz-Kriterien (erweitert),"Diese Kriteriumsgruppe enthält Kriterien, die nähere Auskunft über Verkaufs-Einschränkungen,
insbesondere bei Nutzung von Markplatz-Tarifen geben.",Kaufbetrag direkt vom Käufer,"Gibt an, ob der Tarif Einschränkungen hinsichtlich einer Direktzahlung von den Kunden aufweist."
Marktplatz-Kriterien (erweitert),"Diese Kriteriumsgruppe enthält Kriterien, die nähere Auskunft über Verkaufs-Einschränkungen,
insbesondere bei Nutzung von Markplatz-Tarifen geben.",Keine Konkurrenz durch private Verkäufer/ Nur gewerbliche Verkäufer,"Gibt an, ob private Verkäufer mit Ihren Angeboten konkurrieren (bei Marktplätzen)"
Marktplatz-Kriterien (erweitert),"Diese Kriteriumsgruppe enthält Kriterien, die nähere Auskunft über Verkaufs-Einschränkungen,
insbesondere bei Nutzung von Markplatz-Tarifen geben.",Keine Konkurrenz zwischen Shop-Anbieter und Händler (Fair Commerce),"Gibt an, ob der Anbieter des Shop-Tarifs selbst Produkte anbietet und daher im Konkurrenzverhältnis zu Ihren Angeboten steht."
Marktplatz-Kriterien (erweitert),"Diese Kriteriumsgruppe enthält Kriterien, die nähere Auskunft über Verkaufs-Einschränkungen,
insbesondere bei Nutzung von Markplatz-Tarifen geben.","Keine Zwangserstattung verlorener Retouren durch Plattform (Päckchen, Maxibrief)","Gibt an, ob der Tarif, bzw. der Shop-Anbieter bei verlorenen oder zweifelhaften Rücksendungen(Versand per Päckchen oder Maxibrief) eine Zwangs-Erstattung an den Kunden durchgeführt wird(Antwort NEIN). Antwort ""Ja"" ist hier positiv zu werten."
Marktplatz-Kriterien (erweitert),"Diese Kriteriumsgruppe enthält Kriterien, die nähere Auskunft über Verkaufs-Einschränkungen,
insbesondere bei Nutzung von Markplatz-Tarifen geben.",Keine zwingenden automatischen Auftragsbestätigungen,"Gibt an, ob der Tarif standardmäßig oder einstellbar lediglich automatisierte ""Bestelleingangsbestätigungen"" verschickt. Dies bedeutet, dass nicht zwingend eine ""Auftragsbestätigung"" versandt wird, was Ihnen bei Preisfehlern die notwendige Handlungsfreiheit und eine problemloses Stornierung ermöglicht."
Marktplatz-Kriterien (erweitert),"Diese Kriteriumsgruppe enthält Kriterien, die nähere Auskunft über Verkaufs-Einschränkungen,
insbesondere bei Nutzung von Markplatz-Tarifen geben.",Kunden-E-Mail-Adressen einsehbar,"Gibt an, ob der Tarif zur Kommunikation mit den Kunden sogenannte ""Alias""-E-Mail Adressen verwendet."
Marktplatz-Kriterien (erweitert),"Diese Kriteriumsgruppe enthält Kriterien, die nähere Auskunft über Verkaufs-Einschränkungen,
insbesondere bei Nutzung von Markplatz-Tarifen geben.",Mit Wasserzeichen versehene Bilder verwendbar,"Gibt an, ob eigene, mit Wasserzeichen versehene Bilder verwendet werden können."
Marktplatz-Kriterien (erweitert),"Diese Kriteriumsgruppe enthält Kriterien, die nähere Auskunft über Verkaufs-Einschränkungen,
insbesondere bei Nutzung von Markplatz-Tarifen geben.",Produktkatalog ist lediglich Aufforderung zur Abgabe eines Kaufangebots,Es handelt sich damit bei dem Produktkatalog nicht um ein Angebot auf Kaufabschluss.
Marktplatz-Kriterien (erweitert),"Diese Kriteriumsgruppe enthält Kriterien, die nähere Auskunft über Verkaufs-Einschränkungen,
insbesondere bei Nutzung von Markplatz-Tarifen geben.",Anzahl registrierter Kunden,Es handelt sich damit bei dem Produktkatalog nicht um ein Angebot auf Kaufabschluss.
Marktplatz-Kriterien (erweitert),"Diese Kriteriumsgruppe enthält Kriterien, die nähere Auskunft über Verkaufs-Einschränkungen,
insbesondere bei Nutzung von Markplatz-Tarifen geben.",Besucherzahlen/ Traffic Deutschland 2015 (ca. in Millionen),Es handelt sich damit bei dem Produktkatalog nicht um ein Angebot auf Kaufabschluss.
Marktplatz-Kriterien (erweitert),"Diese Kriteriumsgruppe enthält Kriterien, die nähere Auskunft über Verkaufs-Einschränkungen,
insbesondere bei Nutzung von Markplatz-Tarifen geben.",Reichweite in Deutschland (ca. in %),Es handelt sich damit bei dem Produktkatalog nicht um ein Angebot auf Kaufabschluss.
Marktplatz-Kriterien (erweitert),"Diese Kriteriumsgruppe enthält Kriterien, die nähere Auskunft über Verkaufs-Einschränkungen,
insbesondere bei Nutzung von Markplatz-Tarifen geben.",Sortimentsgröße in Millionen Artikel,Es handelt sich damit bei dem Produktkatalog nicht um ein Angebot auf Kaufabschluss.
Marktplatz-Kriterien (erweitert),"Diese Kriteriumsgruppe enthält Kriterien, die nähere Auskunft über Verkaufs-Einschränkungen,
insbesondere bei Nutzung von Markplatz-Tarifen geben.",Umsatz 2015 in Mrd.,Ungefähre Umsatzangaben ohne Gewähr.
Auswahl Produktsortiment,"Wählen Sie welche Produkte Sie verkaufen möchten. Sie können nicht mit jeder beliebigen E-Commerce
Lösung jedes Produkt vertreiben.",Alle Artikelkategorien anbietbar,"Gibt an, ob der Tarif Einschränkungen hinsichtlich der anzubietenden Produkte oder Produkt-Kategorien aufweist."
Auswahl Produktsortiment,"Wählen Sie welche Produkte Sie verkaufen möchten. Sie können nicht mit jeder beliebigen E-Commerce
Lösung jedes Produkt vertreiben.",Gebrauchte Artikel,"Gibt an, ob der Tarif Einschränkungen hinsichtlich des Zustands der anzubietenden Produkte aufweist."
Gebühren - Lizenzen,"Die angegebenen Preise sind Nettopreise in Euro ohne Mwst. und beziehen sich bei ausländischen Unternehmen auf die
Angabe einer Umsatzsteuer-ID. Ohne diese Angabe können sich andere Gebühren ergeben. Gerundete Preise ohne
tagesaktuelle Währungsumrechnung.",Affiliategebühren enthalten,"Gibt an, ob die Vermittlungsgebühren von Affiliates/ Publishern bereits in den Kosten enthalten sind."
Gebühren - Lizenzen,"Die angegebenen Preise sind Nettopreise in Euro ohne Mwst. und beziehen sich bei ausländischen Unternehmen auf die
Angabe einer Umsatzsteuer-ID. Ohne diese Angabe können sich andere Gebühren ergeben. Gerundete Preise ohne
tagesaktuelle Währungsumrechnung.",Anzahl enthaltener gebührenfreier Bestellungen/ Aufträge/ Transaktionen,"Gibt an, welche Anzahl an Bestellungen im jeweiligen Tarif bereits gebührenfrei enthalten ist."
Gebühren - Lizenzen,"Die angegebenen Preise sind Nettopreise in Euro ohne Mwst. und beziehen sich bei ausländischen Unternehmen auf die
Angabe einer Umsatzsteuer-ID. Ohne diese Angabe können sich andere Gebühren ergeben. Gerundete Preise ohne
tagesaktuelle Währungsumrechnung.",Einrichtungsgebühr / Setup/ Startgebühr,Einmalige Einrichtungskosten in Euro.
Gebühren - Lizenzen,"Die angegebenen Preise sind Nettopreise in Euro ohne Mwst. und beziehen sich bei ausländischen Unternehmen auf die
Angabe einer Umsatzsteuer-ID. Ohne diese Angabe können sich andere Gebühren ergeben. Gerundete Preise ohne
tagesaktuelle Währungsumrechnung.",Fixgebühr je verkauftem Artikel/ Auftrag,"Gibt an, ob und in welcher Höhe beim Tarif beim Verkauf von Waren ein fixer Betrag je verkauftem Artikel (unabhängig vom Artikelpreis) anfällt."
Gebühren - Lizenzen,"Die angegebenen Preise sind Nettopreise in Euro ohne Mwst. und beziehen sich bei ausländischen Unternehmen auf die
Angabe einer Umsatzsteuer-ID. Ohne diese Angabe können sich andere Gebühren ergeben. Gerundete Preise ohne
tagesaktuelle Währungsumrechnung.",Gebühr bei erfolglosem Verkauf,"Gibt an, ob und in welcher Höhe beim Tarif beim Verkauf von Waren ein fixer Betrag je verkauftem Artikel (unabhängig vom Artikelpreis) anfällt."
Gebühren - Lizenzen,"Die angegebenen Preise sind Nettopreise in Euro ohne Mwst. und beziehen sich bei ausländischen Unternehmen auf die
Angabe einer Umsatzsteuer-ID. Ohne diese Angabe können sich andere Gebühren ergeben. Gerundete Preise ohne
tagesaktuelle Währungsumrechnung.",Gebühr für Produktangebotserstellung je Artikel maximal,"Gibt an, ob und in welcher Höhe beim Tarif ein fixer Betrag je Erstellung eines Verkaufs-Artikels(Angebotsgebühr) anfällt. Der hier genannten Betrag ist ein maximal-Betrag. Die Angabe aller unterschiedlichen Gebührentypen je Shop-Tarif ist aus Übersichtsgründen nicht sinnvoll."
Gebühren - Lizenzen,"Die angegebenen Preise sind Nettopreise in Euro ohne Mwst. und beziehen sich bei ausländischen Unternehmen auf die
Angabe einer Umsatzsteuer-ID. Ohne diese Angabe können sich andere Gebühren ergeben. Gerundete Preise ohne
tagesaktuelle Währungsumrechnung.",Gebühr für Produktangebotserstellung je Artikel minimal,"Gibt an, ob und in welcher Höhe beim Tarif ein fixer Betrag je Erstellung eines Verkaufs-Artikels(Angebotsgebühr) anfällt. Der hier genannten Betrag ist ein minimal-Betrag. Die Angabe aller unterschiedlichen Gebührentypen je Shop-Tarif ist aus Übersichtsgründen nicht sinnvoll."
Gebühren - Lizenzen,"Die angegebenen Preise sind Nettopreise in Euro ohne Mwst. und beziehen sich bei ausländischen Unternehmen auf die
Angabe einer Umsatzsteuer-ID. Ohne diese Angabe können sich andere Gebühren ergeben. Gerundete Preise ohne
tagesaktuelle Währungsumrechnung.",Gebühr für Retoure,"Gibt an, ob und in welcher Höhe beim Tarif je Retoure-Prozess eine prozentuale Gebühr des Umsatzes (Verkaufspreis inkl. aller Preisbestandteile) anfällt."
Gebühren - Lizenzen,"Die angegebenen Preise sind Nettopreise in Euro ohne Mwst. und beziehen sich bei ausländischen Unternehmen auf die
Angabe einer Umsatzsteuer-ID. Ohne diese Angabe können sich andere Gebühren ergeben. Gerundete Preise ohne
tagesaktuelle Währungsumrechnung.",Gebühr für Stornierungen,"Gibt an, ob und in welcher Höhe beim Tarif je Bestellungs-Stornierung vor dem Versand eine prozentuale Gebühr des Umsatzes (Verkaufspreis inkl. aller Preisbestandteile) anfällt. Stornierungen nach Versand und Zahlung fallen unter Retouren."
Gebühren - Lizenzen,"Die angegebenen Preise sind Nettopreise in Euro ohne Mwst. und beziehen sich bei ausländischen Unternehmen auf die
Angabe einer Umsatzsteuer-ID. Ohne diese Angabe können sich andere Gebühren ergeben. Gerundete Preise ohne
tagesaktuelle Währungsumrechnung.",Grundgebühr pro Monat (Subscription),"Gibt an, ob und in welcher Höhe beim Tarif eine monatliche Grundgebühr anfällt. Der hier genannten Betrag ist ein minimal-Betrag, der sich z.B. bei modularen Leistungserweiterungen erhöhen kann."
Gebühren - Lizenzen,"Die angegebenen Preise sind Nettopreise in Euro ohne Mwst. und beziehen sich bei ausländischen Unternehmen auf die
Angabe einer Umsatzsteuer-ID. Ohne diese Angabe können sich andere Gebühren ergeben. Gerundete Preise ohne
tagesaktuelle Währungsumrechnung.",Mindestvertragslaufzeit (in Monaten),"Gibt an, ob und auf wieviele Monate sich bei der Nutzung des Tarifs die Mindestvertragslaufzeit beläuft."
Gebühren - Lizenzen,"Die angegebenen Preise sind Nettopreise in Euro ohne Mwst. und beziehen sich bei ausländischen Unternehmen auf die
Angabe einer Umsatzsteuer-ID. Ohne diese Angabe können sich andere Gebühren ergeben. Gerundete Preise ohne
tagesaktuelle Währungsumrechnung.",Paymentgebühren bereits enthalten (bzw. in %),"Gibt an, ob und in welcher Höhe beim Tarif bei der Zahlung von Waren ein zusätzlicher prozentualer Betrag des Brutto-Verkaufspreises je verkauftem Artikel als Gebühr anfällt. Der genannten Prozent-Wert ist der für den Shop-Tarif charakteristischste Prozentwert."
